id,codigo_curriculo,codigo_ingresso,periodo_ingresso,forma_ingresso,codigo_evasao,forma_evasao,periodo_evasao,evadiu_periodo,forma_saida,acao_afirmativa,tipo_reserva_vagas,forma_reserva_vagas,sexo,codigo_cor,nome_cor,idade_ingresso,idade_evasao,tipo_ensino_medio,ensino_medio,apv_media_geral
X138871,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1994.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,22,NA,Não informado,619
L026414,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1996.1,13,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,25,NA,Não informado,644
W185583,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1994.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,22,NA,Não informado,712
N265032,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1993.2,8,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,17,20,NA,Não informado,784
V005284,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1994.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,611
C366921,1990,1,1990.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1992.2,6,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,597
O366595,1990,1,1993.2,VESTIBULAR,1,GRADUADO,1997.2,9,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,17,21,NA,Não informado,614
A372453,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1994.2,10,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,22,NA,Não informado,603
M128207,1990,1,1990.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1996.1,13,Evadido,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,21,27,NA,Não informado,604
U390478,1990,1,1990.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1994.2,10,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,604
U063761,1990,1,1990.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1994.1,9,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,679
H254046,1990,1,1977.2,VESTIBULAR,1,GRADUADO,1981.1,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,20,24,NA,Não informado,597
V369038,1990,1,1977.2,VESTIBULAR,1,GRADUADO,1985.1,16,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,20,28,NA,Não informado,560
Z067195,1990,1,1977.2,VESTIBULAR,1,GRADUADO,1982.1,10,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,19,24,NA,Não informado,NA
T209090,1990,1,1977.2,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1981.2,9,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,20,24,NA,Não informado,572
L009150,1990,1,1993.2,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1994.1,2,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,20,21,NA,Não informado,623
C224355,1990,1,1993.2,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1994.2,3,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,20,21,NA,Não informado,638
A262881,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1996.2,14,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,17,23,NA,Não informado,585
F116204,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1999.1,19,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,0,0,NA,Não informado,572
G343732,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1995.1,11,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,23,NA,Não informado,607
D155805,1990,1,1991.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1996.2,12,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,28,33,NA,Não informado,NA
Z312362,1990,1,1991.1,VESTIBULAR,1,GRADUADO,1997.2,14,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,20,26,NA,Não informado,572
M147320,1990,1,1991.1,VESTIBULAR,1,GRADUADO,1997.1,13,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,20,26,NA,Não informado,581
K087545,1990,1,1991.1,VESTIBULAR,1,GRADUADO,1994.2,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,22,NA,Não informado,712
F080849,1990,1,1991.1,VESTIBULAR,1,GRADUADO,1994.2,8,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,0,0,NA,Não informado,678
I122726,1990,1,1991.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1994.2,8,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,21,NA,Não informado,615
V123560,1990,1,1991.1,VESTIBULAR,1,GRADUADO,1997.1,13,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,17,23,NA,Não informado,695
D031361,1990,1,1991.1,VESTIBULAR,1,GRADUADO,1995.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,23,27,NA,Não informado,658
M277254,1990,1,1991.1,VESTIBULAR,1,GRADUADO,1995.1,9,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,22,NA,Não informado,677
E156008,1990,1,1991.1,VESTIBULAR,1,GRADUADO,1998.2,16,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,21,28,NA,Não informado,674
N235706,1990,1,1991.1,VESTIBULAR,5,CANCELAMENTO DE MATRICULA,1998.2,16,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,20,27,NA,Não informado,611
B383362,1990,1,1991.1,VESTIBULAR,1,GRADUADO,1995.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,23,NA,Não informado,627
U089410,1990,1,1991.1,VESTIBULAR,1,GRADUADO,1997.2,14,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,24,NA,Não informado,605
